Nº,Unidade Inspecionada,Departamento,COORPIN,Data da Inspeção,Delegado Corregedor Responsável,Não Conformidade Identificada,Descrição da Não Conformidade Identificada,Providências Iniciais,Providências Intermediárias,Providências Conclusivas,Data Início Prazo Regularização,Dias Prazo,Data Fim para Regularização,Status Prazo para Regularização,Data Determinada para Nova Inspeção,Criticidade
001,1ª Delegacia Territorial - Salvador,DEPIN,COORPIN-01,2025-01-15,João Silva Santos,Ausência de Livro Obrigatório,Não foi localizado o livro de registro de ocorrências,Determinada aquisição imediata,Acompanhamento quinzenal,Regularizado,2025-01-16,30,2025-02-15,Dentro do prazo,2025-08-15,Média
002,2ª Delegacia Territorial - Feira de Santana,DEPOM,COORPIN-02,2025-01-10,Maria Costa Lima,Não conformidade com Portaria 494/2023,Procedimentos não estão conforme nova portaria,Treinamento da equipe programado,Revisão de procedimentos,Em andamento,2025-01-11,45,2025-02-25,Dentro do prazo,2025-09-10,Alta
003,3ª Delegacia Territorial - Vitória da Conquista,DENARC,COORPIN-03,2024-12-20,Carlos Oliveira,Equipamentos sem manutenção preventiva,Equipamentos de informática necessitam manutenção,Contrato de manutenção em andamento,Execução dos serviços,Concluído,2024-12-21,60,2025-02-19,Próximo do vencimento,2025-06-20,Baixa
004,4ª Delegacia Territorial - Juazeiro,DPMCV,COORPIN-04,2025-01-05,Ana Paula Rocha,Ausência de Livro Obrigatório,Livro de registro de plantão não localizado,Solicitação de novo livro,Aguardando entrega,Pendente,2025-01-06,30,2025-02-05,Prazo expirado,2025-07-05,Média
005,5ª Delegacia Territorial - Ilhéus,DHPP,COORPIN-05,2025-01-20,Roberto Santos,Não conformidade com Portaria 494/2023,Falta de capacitação da equipe,Programação de curso,Curso realizado,Regularizado,2025-01-21,40,2025-03-02,Dentro do prazo,2025-08-20,Alta
006,6ª Delegacia Territorial - Barreiras,DRACO,COORPIN-06,2025-01-25,Fernanda Almeida,Ausência de Livro Obrigatório,Livro de protocolo não encontrado,Solicitação urgente,Em análise,Pendente,2025-01-26,30,2025-02-25,Dentro do prazo,2025-08-25,Alta
007,7ª Delegacia Territorial - Teixeira de Freitas,DEIC,COORPIN-07,2024-12-15,Ricardo Pereira,Não conformidade com Portaria 494/2023,Falta de atualização dos procedimentos,Capacitação programada,Execução em curso,Em andamento,2024-12-16,60,2025-02-14,Prazo expirado,2025-06-15,Média
008,8ª Delegacia Territorial - Paulo Afonso,GDG,COORPIN-08,2025-01-12,Carla Souza,Equipamentos sem manutenção preventiva,Computadores necessitando de manutenção,Contrato firmado,Serviços executados,Concluído,2025-01-13,45,2025-02-27,Dentro do prazo,2025-07-12,Baixa
009,9ª Delegacia Territorial - Eunápolis,DEPIN,COORPIN-09,2025-01-08,Marcos Silva,Ausência de Livro Obrigatório,Ausência do livro de registro de bens,Providências tomadas,Livro adquirido,Regularizado,2025-01-09,30,2025-02-08,Prazo expirado,2025-08-08,Média
010,10ª Delegacia Territorial - Santo Antônio de Jesus,DEPOM,COORPIN-10,2024-12-28,Patricia Lima,Não conformidade com Portaria 494/2023,Procedimentos desatualizados,Treinamento realizado,Atualização concluída,Regularizado,2024-12-29,45,2025-02-12,Próximo do vencimento,2025-06-28,Alta
